"type","maincategory_en","combotype","subcategory_en"
"1","Café - bar","1001","Café"
"1","Café - bar","1002","Bar"
"1","Café - bar","1003","Internet café"
"1","Café - bar","1008","Flocafe"
"1","Café - bar","1007","Bar - Club"
"2","Shop","2001","Shopping malls"
"2","Shop","2002","Department Stores"
"2","Shop","2005","Other"
"3","Sport","3001","Sports Centers"
"3","Sport","3002","Olympic facilities"
"3","Sport","3003","Sports Areas"
"4","Sightseeing","4001","Archaelogical"
"4","Sightseeing","4002","Museums"
"4","Sightseeing","4003","Castle"
"4","Sightseeing","4004","UNESCO World Heritage Sites"
"4","Sightseeing","4005","Monuments"
"4","Sightseeing","4006","Traditional settlements"
"4","Sightseeing","4007","Agrotourism"
"5","ATM","5001","Alpha Bank"
"5","ATM","5002","National Bank of Greece"
"5","ATM","5004","Eurobank"
"5","ATM","5005","Piraeus Bank"
"5","ATM","5009","HSBC"
"5","ATM","5010","Attica Bank"
"5","ATM","5023","Pancreta Bank"
"5","ATM","5025","Cooperative Bank of Chania"
"5","ATM","5028","Other ATM"
"6","Car","6001","Tolls"
"6","Car","6002","MOT"
"6","Car","6003","Rest Area"
"6","Car","6004","Tire Service Center"
"6","Car","6005","Parking lots"
"6","Car","6006","Car Rentals"
"7","Industrial Parks","7001","Industrial Parks"
"8","Food","8002","International Cuisine"
"8","Food","8004","American Style"
"8","Food","8005","Bar Restaurants"
"8","Food","8006","Bar Restaurants"
"8","Food","8007","Café - bar Restaurants"
"8","Food","8008","Club Restaurants"
"8","Food","8009","Creperie"
"8","Food","8010","Fast food"
"8","Food","8011","Multi Ethinc"
"8","Food","8012","Pizza"
"8","Food","8013","Wine Restaurants"
"8","Food","8014","Egypt"
"8","Food","8015","Ethiopia"
"8","Food","8016","Arab"
"8","Food","8017","Brazil"
"8","Food","8018","France"
"8","Food","8019","German"
"8","Food","8020","Greek"
"8","Food","8021","Japan"
"8","Food","8022","India"
"8","Food","8023","Spain"
"8","Food","8024","Italy"
"8","Food","8025","China"
"8","Food","8026","Meat"
"8","Food","8027","Cyprus"
"8","Food","8028","Lebanon"
"8","Food","8029",
"8","Food","8030","Modern taverna"
"8","Food","8031",
"8","Food","8032","Persia"
"8","Food","8033","Kebab"
"8","Food","8034","Russia"
"8","Food","8035","Taverna"
"8","Food","8036","Tex – Mex (Mexican)"
"8","Food","8037","Czech – Slovakia"
"8","Food","8038","Vegeterian"
"8","Food","8039","Fish"
"8","Food","8040","Fish taverna"
"8","Food","8041","Barbecue"
"8","Food","8042","Mediterranean cuisine"
"8","Food","8043","Goody’s"
"8","Food","8044","Pizza Hut"
"1","Café – bar","1009","Everest"
"9","Public Services","9001","Ministries"
"9","Public Services","9002","Embassies - Consulates"
"9","Public Services","9003","Prefectures"
"9","Public Services","9004","Town halls"
"9","Public Services","9005","Courts"
"9","Public Services","9006","Tax Offices"
"9","Public Services","9007","Custom Offices"
"9","Public Services","9008","Citizens Service Centres"
"9","Public Services","9009","DEH"
"9","Public Services","9010","ELTA"
"9","Public Services","9011","OTE"
