osm_id|name|category|type|lon|lat|alt_name|int_name|street|housenumber|postcode|city|country|phone|fax|email|website|opening_hours|description|image|last_update|operator|wikipedia|wkt
N1029715504|Pool Bar|FOOD|BAR|19.8296369|39.6517114||||||||||||||||||POINT(19.8296369 39.6517114)
N1029715509|Convenience Strore Marina Gouvia|SHOP|CONVENIENCE|19.8542664|39.6473859||||||||||||||||||POINT(19.8542664 39.6473859)
N1029715541|Pool Bar|FOOD|BAR|19.8551864|39.6476937||||||||||||||||||POINT(19.8551864 39.6476937)
N1085861173|Athena Supermarket|SHOP|CONVENIENCE|19.736595|39.6712563||||||||||||||||||POINT(19.736595 39.6712563)
N1088014445|Sunrise Bar|FOOD|BAR|20.0964796|39.4074531||||||||||||||||||POINT(20.0964796 39.4074531)
N1090899147|Ψίκος|SHOP|COPYSHOP|20.0789557|39.420952||||||||||||||||||POINT(20.0789557 39.420952)
N1090899224|Φιλαρμονική Λευκίμμης|TOURIST|THEATRE|20.0795942|39.4209911|||||||||||http://www.lefkimi.gov.gr/Default.aspx?tabid=314|||||||POINT(20.0795942 39.4209911)
N1090899327|Περίπτερο Κωνσταντίνα Βερονίκη|SHOP|CONVENIENCE|20.0790483|39.4211864||||||||||||||||||POINT(20.0790483 39.4211864)
N1094096682|Λευκίμμη|POI|VILLAGE|20.0628721|39.4227759||Lefkimmi|||49080||||||||||||el.wikipedia.org/wiki/Λευκίμμη|POINT(20.0628721 39.4227759)
N1105812739|Eucalyptus Taverna|FOOD|RESTAURANT|19.9483499|39.7673028||||||||||||||||||POINT(19.9483499 39.7673028)
N1118693142|Mayor Pelekas Monastery Resort|ACCOMMODATION|HOTEL|19.8214752|39.583847||||||||||||||||||POINT(19.8214752 39.583847)
N1185364874|Γενικό Νομαρχιακό Νοσοκομείο Κέρκυρας|HEALTH|HOSPITAL|19.8507243|39.6431556||||||||||||||||||POINT(19.8507243 39.6431556)
N1185364878|Αγία Τριάδα|POW|CHRISTIAN|19.8510964|39.6456843||||||||||||||||||POINT(19.8510964 39.6456843)
N1185364879|Κοντόκαλι|POI|VILLAGE|19.8531279|39.6446509|||||49100|||||||||||||POINT(19.8531279 39.6446509)
N1185364881|Δημοτικό Σχολείο Κοντοκαλίου|EDUCATION|SCHOOL|19.8519933|39.6445587||Municipal School of Kontokali||||||||||||||||POINT(19.8519933 39.6445587)
N1260636867|Nissaki|TRANSPORT|BUSSTOP|19.9005098|39.7261092||||||||||||||||||POINT(19.9005098 39.7261092)
