"uri"|"id"|"source"|"lon"|"lat"|"the_geom"|"length_m"|"area_m2"|"category"|"generic_category"|"name"|"description"|"phone"|"fax"|"email"|"homepage"|"street"|"street_num"|"postCode"|"locality"|"country"|"open_hours"|"wikipedia"|"image"|"confScore"|"attrGain"
"http://slipo.eu/id/poi/f6cff505-4519-3957-8854-c5501950b825"|"W554529423"|"OpenStreetMap"|"19.927324136865227"|"39.60995640098382"|"SRID=4326;MULTIPOLYGON (((19.9272621 39.6099793, 19.9273882 39.6099772, 19.9273909 39.6099359, 19.9272595 39.6099338, 19.9272621 39.6099793)))"|"31.75699098470931"|"53.24635717378802"|"BAR"|"EAT/DRINK"|"Pool Bar"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"1.0"
"http://slipo.eu/id/poi/fb3e3272-314c-39b0-9257-65b0fbea9d1f"|"N1993281238"|"OpenStreetMap"|"19.8242625"|"39.6958613"|"SRID=4326;POINT (19.8242625 39.6958613)"|""|""|"SUPERMARKET"|"SHOP"|"Zaharias"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"1.0"
"http://slipo.eu/id/poi/0ad0c120-56a9-38cd-a657-66a886dc73a1"|"N1983913581"|"OpenStreetMap"|"19.8429362"|"39.6874175"|"SRID=4326;POINT (19.8429362 39.6874175)"|""|""|"CAFE"|"EAT/DRINK"|"Mouratoros"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"1.0"
"http://slipo.eu/id/poi/714a015c-47b6-3fcd-9d79-af52ba9c7abe"|"4161"|"GET"|"19.91712491655247"|"39.62036040816285"|"SRID=4326;MULTIPOINT ((19.91712491655247 39.62036040816285))"|""|""|"Super Market"|"SHOP"|"Dimitra - Markato; Δήμητρα - Μαρκάτο"|""|"2661022682"|""|""|"http://www.dimitramarkets.gr"|"Μητοπολίτου Μεθοδίου 9 & Λίνου Κογεβίνα"|""|""|""|""|""|""|""|""|""
"http://slipo.eu/id/poi/5214fd51-0d24-3373-9d88-bd2d10f7fda6"|"N1772947158"|"OpenStreetMap"|"19.8030827"|"39.6314781"|"SRID=4326;POINT (19.8030827 39.6314781)"|""|""|"VILLAGE"|"SETTLEMENTS"|"Κουραμαδίτικα"|""|""|""|""|""|""|""|"49100"|""|""|""|""|""|""|"1.0"
"http://slipo.eu/id/poi/4786f4c0-1c81-3dbb-9487-c5f587399064"|"N1872478399"|"OpenStreetMap"|"19.6755133"|"39.7213211"|"SRID=4326;POINT (19.6755133 39.7213211)"|""|""|"HOTEL"|"ACCOMMODATION"|"Villa Akis"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"1.0"
"http://slipo.eu/id/poi/a4959fce-8bfc-3926-b4b0-216915d397ba"|"N4359125189"|"OpenStreetMap"|"19.8492172"|"39.6707623"|"SRID=4326;POINT (19.8492172 39.6707623)"|""|""|"BAR"|"EAT/DRINK"|"toucan beach bar"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"1.0"
"http://slipo.eu/id/poi/9997b631-8470-32b8-a388-136c2447625d"|"N1363984223"|"OpenStreetMap"|"19.8764423"|"39.6343089"|"SRID=4326;POINT (19.8764423 39.6343089)"|""|""|"VILLAGE"|"SETTLEMENTS"|"Αλυκές Ποταμού"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"1.0"
"http://slipo.eu/id/poi/5be561ff-834f-3185-a588-42bad9abf947"|"2321"|"GET"|"19.924433742666356"|"39.62697572999521"|"SRID=4326;MULTIPOINT ((19.924433742666356 39.62697572999521))"|""|""|"Culture – Entertainment"|"TOURISM"|"Εταιρεία Κερκυραϊκών Σπουδών; CORFU STUDIES SOCIETY"|""|"2661033060"|"0"|""|""|"Αρσενίου"|"1"|"49100"|""|""|""|""|""|""|""
"http://slipo.eu/id/poi/df07a46d-a1a7-34f0-b9fc-755ea4afa8fa"|"N3089722289"|"OpenStreetMap"|"19.8953295"|"39.6063914"|"SRID=4326;POINT (19.8953295 39.6063914)"|""|""|"SUPERMARKET"|"SHOP"|"Σκλαβενίτης"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"1.0"
